Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?
Sometimes tired,I recharge through entertainment,Challenging but good,In good physical condition,No energy at all,Mostly engaged,Rarely feel tired,Fine,Not motivated,Indifferent,Meaningful,Focused,Alert,Alert,Productive,Few mistakes,Balanced,Stable,Adaptable,Stable
Sometimes tired but can handle it to some extent,"No difficulty, I can easily regain my energy if I rest",I can handle the effort most of the time,"No, thank God, in good condition",Generally excited,Mostly no difficulty,Rarely feel tired,Fine,"Sometimes I find it difficult, but generally, I consider myself motivated and passionate",Interested,Goal-oriented,"My personality is scattered, but I can pay attention",Sometimes my mind is foggy,I forget often,Easily distracted,Few mistakes,Emotionally stable,Self-aware,Mostly flexible,Emotionally balanced
Bearable,Can recharge,Challenging but good,In good physical condition,Apprehensive,Mostly engaged,I get tired easily,Exhausted,Motivated,Interested,Pessimistic,Distracted,Foggy mind,Forgetful,Loses focus,Few mistakes,Balanced,Self-aware,Adaptable,Stable
Mentally drained,Never rest,Challenging but good,Sometimes tired,No motivation,Can’t keep up,I get tired easily,Fine,Not motivated,Indifferent,Goal-oriented,Distracted,Confused,Easily distracted,Easily distracted,Few mistakes,Calm,Stable,Easily frustrated,Stable
Sometimes tired,Mostly rested,Worth it,Sometimes tired,Ready to go,Mostly engaged,Good stamina,Fine,Passionate,Interested,Meaningful,Focused,Sharp,Focused,Alert,Focused,Balanced,Balanced,Flexible,Stable
"Mental and physical fatigue, but not always",Constantly tired,Always a struggle,Exhausted,Low energy,Can’t keep up,Good stamina,Not always,No passion,Connected,Doesn’t matter,Distracted,Confused,"Forgetful, easily distracted",Easily distracted,Few mistakes,Balanced,Balanced,Frustrated,Low mood
Sometimes tired,I regain my energy easily,Worth it,In good physical condition,Full of energy,Mostly engaged,Rarely feel tired,Fine,Motivated,Interested,Positive outlook,Focused,Alert,Focused,Alert,Few mistakes,Emotionally stable,Self-aware,Patient,Emotionally balanced
"Sometimes tired, bearable, not too bad","Can recharge, regain energy easily, mostly rested","Worth it, challenging but good, mostly bearable","In good physical condition, bearable fatigue, sometimes tired","Full of energy, ready to go, generally excited","Loss of motivation, can’t keep up, lack of energy","Good stamina, generally strong, rarely feel tired","Drained, exhausted, burnt out","Motivated, driven, passionate","Invested, interested, connected","Invested, interested, connected","Focused, attentive, on task","Clear mind, attentive, sharp","Sharp memory, attentive, focused","Good concentration, productive, attentive","Few mistakes, focused, on task","Emotionally stable, calm, balanced","Self-aware, emotionally balanced, stable","Patient, flexible, adaptable","Emotionally balanced, stable, positive"
Bearable,Can recharge,Mostly bearable,Bearable fatigue,Low energy,Driven,No stamina,Fine,No passion,Interested,Doesn’t matter,On task,Clear mind,Forgetful,Attentive,On task,Balanced,Variable,Adaptable,Positive
Sometimes tired,I regain my energy,Mostly bearable,In good physical condition,Ready to go,Mostly engaged,Good stamina,Fine,Not motivated,Interested,Positive outlook,Attentive,Attentive,Attentive,Attentive,Focused,Calm,Stable,Patient,Stable
Not too bad,Mostly regain my energy,Not always,Sometimes tired,Ready to go,Mostly engaged,Good stamina,"Fine, sometimes exhausted",Passionate,Interested,Meaningful,Attentive,Attentive,Sometimes easily distracted,Attentive,Few mistakes,Balanced,Self-aware,Easily frustrated,Low mood
"Sometimes tired, bearable, not too bad","Can recharge, regain energy easily, mostly rested",Worth it,In good physical condition,Full of energy,"When I start working, I feel mentally and physically engaged in what I do","I don’t get tired, thank God, but I need to take breaks between tasks to avoid boredom","Sometimes, but I overcome it quickly, thank God","When I receive support and trust from leadership, my passion and motivation increase","Invested, interested, and in constant communication with leadership and teams","Never, but I always try to spread positivity to others to achieve goals",I always focus on my performance in tasks,"I always try to have a clear mind at work, but late nights tire me the most","Attentive, but sometimes colleagues distract me with side conversations","My concentration is good, thank God, but when I sleep late, I find some difficulties","Few mistakes, but I always believe that as long as there is work, there will be mistakes, but the problem is if the mistake persists","Calm, balanced, and I try to be fair, not biased","Thank God, I am always self-aware and emotionally balanced so as not to affect my duties at work","Patient, but sometimes I lose my temper when things go off track","Thank God, stable and positive"
Mostly,Can recharge,Mostly bearable,Sometimes,"Mostly yes, I lack energy",Yes,Mentally tired,No,Not always,"No, I don’t care",No,Sometimes,Sometimes,"Yes, I get distracted, but I don’t forget, thank God","No, thank God",No,No,No,No,No
Yes,Tired,Negative,No,"Positive, mostly engaged, no",No,No,No,"Yes, motivated",Motivated,No,No,No,No,No,Sometimes,No,No,Yes,No
Exhausted,Possible,Yes,Yes,No,Yes,"No, no",No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No
Sometimes tired,Can recharge,Mostly bearable,Exhausted,Full of energy,Mostly engaged,Good stamina,Exhausted,Motivated,Invested,Positive outlook,Focused,Clear mind,Attentive,Attentive,Few mistakes,Balanced,Self-aware,Patient,Emotionally balanced
"Yes, I feel exhausted",I feel constantly tired and drained most of the time,"Yes, I feel like I put in a lot of effort","Physically, I’m in good condition to some extent","Low energy, no motivation to have energy",Energy is always low,No stamina,I feel drained,"Loss of passion, not motivated","Yes, indifferent",Doesn’t matter,Always distracted,My mind is often confused,Easily distracted,Easily distracted,Few mistakes,Emotionally stable,Self-aware,"Quick to anger, but I try to control myself","Yes, I’m usually emotional and sad"
Sometimes tired,I regain my energy,Worth it,Sometimes tired,Low energy,Bearable,Rarely feel tired,Exhausted,Not engaged,Connected,Doesn’t matter,Focused,Attentive,Attentive,Attentive,Few mistakes,Balanced,Variable,Nervous,Low mood
Bearable,I regain my energy easily,Fun and worth it,Sometimes tired,Low energy,Lack of energy,Rarely feel tired,Exhausted,Passionate,Interested,Meaningful,Attentive,Attentive,Focused,Good concentration,Few mistakes,Calm,Stable,Flexible,Positive
Positive responses,"Can recharge, regain energy","Worth it, challenging but good",In good physical condition,"Full of energy, ready to go","Loss of motivation, can’t keep up, lack of energy","Good stamina, generally strong, rarely feel tired","Drained, exhausted, burnt out","Motivated, driven, passionate","Invested, interested, connected","Goal-oriented, meaningful","Focused, attentive, on task","Clear mind, attentive, sharp","Sharp memory, attentive, focused","Good concentration, productive, attentive","Few mistakes, focused, on task","Emotionally stable, calm, balanced","Self-aware, emotionally balanced, stable","Easily frustrated, quick to anger, nervous","Unexplained sadness, emotional, low mood"
Not too bad,Can recharge,Mostly bearable,Sometimes tired,Full of energy,Bearable,Rarely feel tired,Fine,Passionate,Interested,Meaningful,Focused,Clear mind,Attentive,Good concentration,Few mistakes,Quick to anger,Stable,Nervous,Low mood
"Sometimes tired, bearable","Mostly rested, but need to recharge energy to complete life tasks","A lot of effort, but you must persevere to achieve what you want",Bearable fatigue,Have energy to start a new day,Bearable,Rarely feel tired,Fine,Motivation is necessary because it’s my livelihood,"Interested, of course",Positive outlook,Attentive,Attentive,Focused,Good concentration,Rarely or few mistakes,Calm and balanced,Self-aware,"Patient, but nervous",Stable
Not too bad,Can recharge,Worth it,In good physical condition,Full of energy,Driven,Good stamina,Fine,Motivated,Invested,Goal-oriented,Focused,Attentive,Attentive,Productive,Focused,Emotionally stable,Stable,Adaptable,Stable
Not bad,I regain my energy,Challenging but good,Heavy body,Generally excited but apprehensive,Lack of energy,Generally strong,Fine,Motivated,Indifferent,Meaningful,On task,Confused,Attentive,Good concentration,Few mistakes,Quick to anger,Variable,Nervous,Stable
Not too bad,Mostly rested,Worth it,Bearable fatigue,Low energy,Lack of energy,Rarely feel tired,Refreshed,Passionate,Interested,Goal-oriented,Focused,Attentive,Focused,Attentive,Focused,Balanced,Self-aware,Flexible,Stable
Sometimes tired,Possible to regain energy,Mostly bearable,Bearable fatigue,Ready to go,Bearable,Good stamina,Fine,Motivated,Interested,Goal-oriented,Focused,Attentive,Focused,Attentive,On task,Balanced,Stable,Stable,Positive
Sometimes tired,Mostly rested,Worth it,In good physical condition,Low energy,Lack of energy,Rarely feel tired,Exhausted,Motivated,Interested,Goal-oriented,Focused,Attentive,Attentive,Good concentration,Few mistakes,Calm,Self-aware,Patient,Stable
Sometimes tired,Can recharge,Challenging but good,Bearable fatigue,Generally excited,Bearable,Good stamina,Fine,Passionate,Invested,Goal-oriented,Focused,Clear mind,Attentive,Attentive,Focused,Calm,Self-aware,Patient,Stable
Sometimes tired,"Sometimes I regain my energy, sometimes with difficulty",Bearable,Sometimes tired,Ready to go,Bearable,Good stamina,"Fine, God willing, at all times",Neutral,.,No,Attentive,Attentive,Focused,Good concentration,Rarely,Balanced,Stable,Patient,Stable
Exhausted,Drained,Overwhelming,Exhausted,Low energy,Lack of energy,Good stamina,Exhausted,No passion,Interested,Goal-oriented,Distracted,Confused,Not focused,Good concentration,Yes,Quick to anger,Variable,Quick to anger,Yes
"Yes, mental and self-exhaustion","Constantly tired, never rest",Overwhelming,"Exhausted, drained",No motivation,Lack of energy,Good stamina,Burnt out,No passion,Indifferent,Doesn’t matter,Attentive,Confused,Easily distracted,Loses focus,Not focused,Calm,Variable,Patient,Low mood
Sometimes tired,Can recharge,Mostly bearable,In good physical condition,Low energy,Lack of energy,Drained quickly,Fine,Motivated,Connected,Meaningful,On task,Unclear,Attentive,Productive,Focused,Emotionally stable,Self-aware,Adaptable,Low mood
"Sometimes exhausted, overwhelmed, drained","Drained, constantly tired","Yes, it requires a lot of effort","Yes, sometimes very tired, sometimes not",Excited,"Yes, I naturally want to be active","Yes, I get tired easily","Yes, I feel tired and exhausted at the end of the day",Yes,Sometimes I feel that way,"Yes, pessimistic","Yes, I feel difficulty focusing","Yes, my mind is confused","Yes, distracted",Yes,Sometimes,Sometimes quick to anger,"Yes, it’s not me","Yes, nervous","Yes, unexplained sadness"
Exhausted,Can recharge,Always a struggle,Sometimes tired,No motivation,Mostly engaged,Good stamina,Fine,No passion,Connected,Meaningful,Attentive,Sharp,Focused,Attentive,Few mistakes,Balanced,Self-aware,Adaptable,Stable
"Bearable, exhausted, overwhelmed",Can recharge,Mostly bearable,Heavy body,"Low energy, no motivation",Loss of motivation,I get tired easily,Fine,Not motivated,Disconnected,Doesn’t matter,Distracted,Foggy mind,Forgetful,Not focused,Few mistakes,Calm,Normal,Frustrated,Low mood
Exhausted,Drained,A lot of effort,Drained,Low energy,Bearable,I get tired easily,Exhausted,No passion,Connected,Goal-oriented,On task,Attentive,Forgetful,Good concentration,Few mistakes,Emotionally stable,It’s not me,Patient,Emotionally balanced
Bearable,Constantly tired,Mostly bearable,Heavy body,No,Mostly engaged,Good stamina,Fine,No passion,Interested,Doesn’t matter,On task,Clear mind,Forgetful,Good concentration,Focused,Calm and balanced,Stable,Adaptable,Positive
Bearable,"I regain my energy quickly, thank God",Difficult but worth it,"Heavy body, exhaustion",Low energy,Bearable,My energy drains quickly,Energy drain,I don’t remind myself of the reasons that drive me,"No, I’m interested in it",I like to think that what I do has a purpose,Sometimes I feel distracted,Foggy mind,Forgetful and distracted,Half and half,Few mistakes,Stable,Self-aware,Patient,Unexplained sadness
Sometimes I feel mentally drained,Drained,Mostly bearable,Exhausted,"My energy is average, not excited nor low","Yes, sometimes I lose motivation to be active at work",My energy drains quickly,"Sometimes, not always","Depending on my mood, but mostly not motivated",Interested,"My work is meaningful, so I don’t feel pessimistic",Mostly distracted,Confused and unclear at times,Easily distracted,I lose focus,Few and rare mistakes,Balanced,Variable,Easily frustrated and nervous,No
Sometimes,I regain my energy with difficulty,"Good challenge, bearable",Sometimes tired,Low energy,"Yes, I want to",Good stamina,Sometimes,I feel motivated if there are challenges and difficulties at work,Interested,Positive outlook,Sometimes distracted due to the environment,Attentive,Attentive,Easily distracted due to surroundings,"Rare mistakes, not worth mentioning",Sometimes emotionally unstable,Self-aware,Sometimes I feel angry,Sometimes sadness or low mood
Bearable,Can recharge,Mostly bearable,In good physical condition,Low energy,Loss of motivation,Rarely feel tired,Fine,No passion,Interested,Doesn’t matter,Distracted,Confused,Forgetful,Productive,Few mistakes,Calm,It’s not me,Nervous,Low mood
Bearable,Can recharge,Worth it,Sometimes tired,Ready to go,Mostly engaged,Rarely feel tired,Fine,Passionate,Interested,Meaningful,Focused,Attentive,Focused,Attentive,Focused,Balanced,Stable,Flexible,Stable
Bearable,I regain my energy easily,Worth it,Sometimes tired,Low energy,Mostly engaged,Rarely feel tired,Exhausted,Motivated,Invested,Goal-oriented and meaningful,Focused,Clear mind,Attentive,Productive,Focused on the task,Balanced,Stable,Nervous,Positive
Not too bad,I can regain my energy,"A lot of effort, but mostly bearable",In good physical condition,Low energy,Mostly engaged,Good stamina,Fine,Somewhat motivated,Sometimes when there is no appreciation,Positive outlook,Focused,Attentive most of the time,Focused,Good concentration,Few mistakes,Balanced,Stable,Quick to anger,Sometimes low mood
